Cut Edges,Presidential Democratic Districts,Presidential Republican Districts,Presidential Efficiency Gap,Governor Democratic Districts,Governor Republican Districts,Governor Efficiency Gap
678.0,4.0,4.0,-0.01490381203622283,4.0,4.0,-0.0070947071922889005
681.0,4.0,4.0,-0.01490381203622283,4.0,4.0,-0.0070947071922889005
668.0,4.0,4.0,-0.01490381203622283,4.0,4.0,-0.0070947071922889005
708.0,4.0,4.0,-0.013695870165532776,4.0,4.0,-0.00576842243505749
668.0,4.0,4.0,-0.012428071149781707,4.0,4.0,-0.0045807218363968305
726.0,4.0,4.0,-0.016662809891856034,4.0,4.0,-0.008749699829766935
725.0,4.0,4.0,-0.018189167090911895,4.0,4.0,-0.010213041647403052
716.0,4.0,4.0,-0.013952577096928464,4.0,4.0,-0.0057252819118659105
715.0,4.0,4.0,-0.013952577096928464,4.0,4.0,-0.005725281911865866
718.0,4.0,4.0,-0.013952577096928464,4.0,4.0,-0.005725281911865866
772.0,4.0,4.0,-0.013952577096928464,4.0,4.0,-0.005725281911865855
751.0,4.0,4.0,-0.013952577096928464,4.0,4.0,-0.005725281911865855
774.0,4.0,4.0,-0.013952577096928464,4.0,4.0,-0.005725281911865833
754.0,4.0,4.0,-0.012538529180358218,4.0,4.0,-0.005344652693972976
745.0,4.0,4.0,-0.012538529180358218,4.0,4.0,-0.005344652693972965
749.0,4.0,4.0,-0.013946406257231453,4.0,4.0,-0.006683917785616002
762.0,4.0,4.0,-0.006878635010259021,4.0,4.0,0.0013451825970366234
768.0,4.0,4.0,-0.006878635010259021,4.0,4.0,0.0013451825970366123
723.0,3.0,5.0,-0.14351151632958456,3.0,5.0,-0.13831863437719397
725.0,3.0,5.0,-0.14351151632958456,3.0,5.0,-0.13831863437719397
721.0,3.0,5.0,-0.14351151632958456,3.0,5.0,-0.13831863437719397
737.0,3.0,5.0,-0.14351151632958456,3.0,5.0,-0.13831863437719397
734.0,3.0,5.0,-0.14351151632958456,3.0,5.0,-0.1383186343771939
746.0,3.0,5.0,-0.14351151632958456,3.0,5.0,-0.13831863437719394
728.0,3.0,5.0,-0.14351151632958456,3.0,5.0,-0.13831863437719394
723.0,3.0,5.0,-0.1398639329846809,3.0,5.0,-0.13453715754346401
762.0,3.0,5.0,-0.1398639329846809,3.0,5.0,-0.13453715754346401
